"","FIPS","GEO_ID","pop2020","pop2020_w","pct_w","pct_pov","med_inc","pct_unins","incidence","death","svi"
"54",1107,"0500000US01107",19123,10739,56.1575066673639,22.7,39848,9.1,483.8,144.7,0.9207
"55",1109,"0500000US01109",33009,18275,55.3636886909631,24.4,37446,9.7,446.7,185.1,0.9016
"56",1111,"0500000US01111",21967,16772,76.3508899713206,16.9,43395,9.1,412.4,170,0.7191
"57",1113,"0500000US01113",59183,27532,46.5201155737289,20.7,42443,11.5,414,202.1,0.9115
"58",1115,"0500000US01115",91103,75728,83.1234975796626,12.2,58308,8.5,475,177.2,0.3656
"59",1117,"0500000US01117",223024,165206,74.0754358275342,7.5,77799,6.2,416.5,128.3,0.1169
"60",1119,"0500000US01119",12345,2974,24.0907249898744,31.8,24320,12.5,473.3,188.3,0.9557
"61",1121,"0500000US01121",82149,51214,62.342816102448,19.1,41325,9.3,456.9,184.8,0.8736
"62",1123,"0500000US01123",41311,28477,68.9332139139697,18.9,45828,8.2,485.4,186.1,0.8863
"63",1125,"0500000US01125",227036,136582,60.1587413449849,17.7,53326,7.2,441.4,156.3,0.6255
"64",1127,"0500000US01127",65342,57012,87.2516911022007,18.1,43629,11.8,513.1,215,0.7452
"65",1129,"0500000US01129",15388,10309,66.9937613724981,21.1,41370,9.4,412.8,184.9,0.7303
"66",1131,"0500000US01131",10600,2880,27.1698113207547,30.1,31014,10.9,476.9,208.2,0.928
"67",1133,"0500000US01133",23540,21760,92.4384027187765,17.6,35788,12.3,404.7,160.2,0.7025
"69",2016,"0500000US02016",5232,1667,31.861620795107,6.8,87466,17.5,383.1,124.7,0.4927
"70",2020,"0500000US02020",291247,164446,56.4627275130731,9,84928,11.2,439.1,146.1,0.4602
"71",2050,"0500000US02050",18666,1665,8.91996142719383,28.3,53553,20.3,358.7,209.1,0.9748
"74",2070,"0500000US02070",4857,799,16.4504838377599,17.2,56898,20.9,375.4,198.3,0.8682
"75",2090,"0500000US02090",95655,65971,68.9676441377868,8,76992,9.8,386.7,128.7,0.3446
"77",2110,"0500000US02110",32255,20124,62.3903270810727,7.7,88390,10.5,400.9,147.5,0.2987
"78",2122,"0500000US02122",58799,46382,78.8822939165632,12.1,66064,16,435.3,163,0.4073
"79",2130,"0500000US02130",13948,8430,60.438772583883,9.6,72728,11.4,436.2,135.2,0.5548
"80",2150,"0500000US02150",13101,6570,50.1488435997252,7.8,85839,17.2,403.5,131.5,0.7006
"82",2170,"0500000US02170",107081,83035,77.5441021282954,10.3,75493,14.8,427.6,161.8,0.3172
"83",2180,"0500000US02180",10046,1422,14.1548875174199,21.5,61048,20.7,468.5,208.3,0.9299
"84",2185,"0500000US02185",11031,3082,27.939443386819,10.1,79306,18.6,425,237,0.7344
"85",2188,"0500000US02188",7793,700,8.98242012062107,26.1,60906,25.7,396.8,152.1,0.9354
"86",2220,"0500000US02220",8458,5174,61.1728541026247,8.7,73682,16.3,342.9,119.9,0.4022
"87",2240,"0500000US02240",6808,5085,74.6915393654524,10.9,70056,17.1,411.7,152.6,0.5838
"89",2290,"0500000US02290",5343,1130,21.1491671345686,25.4,41413,27.1,558.3,243.2,0.8812
"90",4001,"0500000US04001",66021,14873,22.5276805864801,35.5,32508,25.1,270.7,119.3,0.9885
"91",4003,"0500000US04003",125447,81733,65.1534114008306,16.6,49260,7.8,385.6,154,0.9064
"92",4005,"0500000US04005",145101,83360,57.4496385276463,17.6,59460,11.2,361.1,129.2,0.7131
"93",4007,"0500000US04007",53272,35904,67.3975071332032,21.6,43524,10,328,144.9,0.899
"94",4009,"0500000US04009",38533,25043,64.9910466353515,22.6,51353,6.9,367.7,132.8,0.964
"95",4011,"0500000US04011",9563,6584,68.8486876503189,13.3,63473,4.6,387.2,130.9,0.6188
"96",4012,"0500000US04012",16557,9772,59.0203539288518,22.4,34643,14.7,315.6,141.1,0.9236
"97",4013,"0500000US04013",4420568,2645512,59.8455221139003,13.8,64468,10.6,391.3,133.5,0.6354
"98",4015,"0500000US04015",213267,169732,79.5866214651118,16.4,45587,8.9,418.8,183.8,0.8624
"99",4017,"0500000US04017",106717,48430,45.3817105053553,27.9,40067,13.2,332.8,132.7,0.9955
"100",4019,"0500000US04019",1043433,633382,60.701741271361,16.8,53379,9.2,392.6,136.6,0.8828
"101",4021,"0500000US04021",425264,269258,63.3154934346665,13.2,58174,8.8,351.9,119.9,0.8592
"102",4023,"0500000US04023",47669,15929,33.4158467767312,23.3,41259,10.2,330.7,113.9,0.9318
"103",4025,"0500000US04025",236209,192507,81.4985881147628,13,52451,9.8,407.8,150.8,0.521
"104",4027,"0500000US04027",203881,90318,44.2993707113463,19.4,45243,12.7,369.9,114.5,0.9895
"105",5001,"0500000US05001",17149,11698,68.2138900227419,17.3,46696,6.8,522.6,206.3,0.7787
"106",5003,"0500000US05003",19062,12958,67.97817647676,16.7,44744,7.8,509.1,208.6,0.8576
"107",5005,"0500000US05005",41627,38489,92.4616234655392,13.1,42260,5.2,478.1,187.3,0.2793
